Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,16.00277778,0.01286744,0.00286744
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,18.00388889,0.02107696,0.01107696
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,20.00361111,0.02215716,0.01215716
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,22.00444444,0.02488712,0.01488712
15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,24.00444444,0.028167,0.018167
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,0,0.01,0
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,2.000277778,0.008209716,-0.001790284
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,4.000277778,0.010295786,0.000295786
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,6.000833333,0.009968865,-3.11349999999998E-05
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,8.001111111,0.002309563,-0.007690437
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,10.00166667,0.010918493,0.000918493
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,12.00222222,0.011245415,0.001245415
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,14.00277778,0.011556769,0.001556769
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,16.00277778,0.012132773,0.002132773
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,18.00388889,0.006217052,-0.003782948
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,20.00361111,0.005750022,-0.004249978
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,22.00444444,0.004255524,-0.005744476
16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,24.00444444,0.00287,-0.00713
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,0,0.01,0
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,2.000277778,0.010088075,8.8075E-05
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,4.000277778,0.00960366,-0.00039634
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,6.000833333,0.00980183,-0.00019817
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,8.001111111,0.010660566,0.000660566
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,10.00166667,0.009317415,-0.000682585
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,12.00222222,0.009559623,-0.000440377
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,14.00277778,0.009493566,-0.000506434
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,16.00277778,0.009383472,-0.000616528
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,18.00388889,0.00980183,-0.00019817
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,20.00361111,0.010176151,0.000176151
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,22.00444444,0.010550472,0.000550472
17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,24.00444444,0.011167,0.001167
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,0,0.01,0
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,2.000277778,0.012495597,0.002495597
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,4.000277778,0.012113618,0.002113618
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,6.000833333,0.01231734,0.00231734
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,8.001111111,0.012521063,0.002521063
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,10.00166667,0.012342806,0.002342806
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,12.00222222,0.01231734,0.00231734
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,14.00277778,0.012571993,0.002571993
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,16.00277778,0.012419201,0.002419201
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,18.00388889,0.012444667,0.002444667
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,20.00361111,0.013081299,0.003081299
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,22.00444444,0.01318316,0.00318316
18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,24.00444444,0.013667,0.003667
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,0,0.01,0
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,2.000277778,0.011979249,0.001979249
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,4.000277778,0.011833716,0.001833716
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,6.000833333,0.012124782,0.002124782
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,8.001111111,0.012168442,0.002168442
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,10.00166667,0.012037462,0.002037462
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,12.00222222,0.011877376,0.001877376
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,14.00277778,0.012153888,0.002153888
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,16.00277778,0.011964695,0.001964695
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,18.00388889,0.011950142,0.001950142
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,20.00361111,0.012503168,0.002503168
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,22.00444444,0.012677807,0.002677807
19,REU04,BT,REU04_BT,3,0,1,0,0,0,1,1,24.00444444,0.012867,0.002867
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,0,0.01,0
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,2.000277778,-0.023910962,-0.033910962
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,4.000277778,-0.005430385,-0.015430385
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,6.000833333,-0.003277308,-0.013277308
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,8.001111111,-0.009018846,-0.019018846
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,10.00166667,-0.002559615,-0.012559615
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,12.00222222,0.006411538,-0.003588462
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,14.00277778,0.006770385,-0.003229615
